Pathway	SRR18584972	SRR18584974	SRR18584975	SRR18584976	SRR18584977	SRR18584978	SRR18584979	SRR18584980	SRR18584981	SRR18584982	SRR18584983	SRR18585056	SRR18585057	SRR18585058	SRR18585059	SRR18585061	SRR18585062	SRR18585063	SRR18585064	SRR18585065	SRR18585076	SRR18585077	SRR18585078	SRR18585079	SRR18585104	SRR18585105	SRR18585106	SRR18585107	SRR18585109	SRR18585110	SRR18585111	SRR18585112	SRR18585113	SRR18585114	SRR18585115	SRR18585128	SRR18585129	SRR18585131	SRR18585132	SRR18585133	SRR18585134	SRR18585135	SRR18585136	SRR18585137	SRR18585138	SRR18585139	SRR18585140	SRR18585142	SRR18585143	SRR18585144	SRR18585177	SRR18585178	SRR18585179	SRR18585180	SRR18585181	SRR18585182	SRR18585183	SRR18585184	SRR18585212	SRR18585213	SRR18585214	SRR18585215	SRR18585216	SRR18585218	SRR18585219	SRR18585220	SRR18585221	SRR18585222	SRR18585223	SRR18585254	SRR18585256	SRR18585257	SRR18585258	SRR18585259	SRR18585260	SRR18585261	SRR18585272	SRR18585273
PWY-6292: superpathway of L-cysteine biosynthesis (mammalian)	199.595	193.366	210.797	131.641	68.6039	45.6635	57.2144	93.6102	107.816	58.2273	117.509	70.1334	9.84848	8.72873	15.7888	9.17219	26.5566	0	45.0471	31.9727	109.751	67.5066	84.3909	134.962	92.0416	8.98187	23.7176	29.1864	7.71613	4.55569	30.056	2.77959	2.77213	43.8949	34.0782	58.0365	105.22	48.1784	80.9338	47.102	83.8096	67.9589	20.665	20.012	62.8196	90.5047	57.1715	28.6039	88.513	37.6994	94.6625	82.0884	48.9409	46.7168	125.546	103.402	45.2085	59.1546	26.8168	21.5739	43.7435	73.4705	122.166	12.4166	0	8.42905	8.23636	0	0	12.667	65.3658	99.7927	93.7239	69.4951	74.3894	60.9817	171.815	210.773
PWY-6293: superpathway of L-cysteine biosynthesis (fungi)	0	0	0	0.715155	0	9.31285	0	1.93389	0	0	0	0	0	0	0	2.32127	0	0	0	0	0	0	23.7132	4.63658	0	12.931	3.43947	11.483	3.39548	18.1958	65.4105	6.63548	2.338	19.1213	0	0	10.2515	80.4997	0	59.0439	117.738	45.8038	17.9749	38.0425	115.133	7.04408	4.39221	8.06636	18.7661	0	2.19829	0	0	0	0	0	0	0	0	14.9194	0	0	0	0	0	0	0	0	0	0	8.42685	33.1631	0	0	0	0	0	0
PWY-6305: superpathway of putrescine biosynthesis	61.8926	73.4075	51.7764	104.608	16.6209	21.7417	41.8924	3.96318	6.83437	25.2161	3.18488	122.55	50.5334	24.19	22.3629	16.4293	162.466	0	34.6333	71.1158	49.1939	41.0316	34.8751	83.5882	22.421	40.8886	43.0812	58.4033	56.4417	466.454	10.2581	2.6435	28.341	106.068	108.592	3.70545	0	200.397	89.1781	7.60144	16.3617	44.6483	79.2276	12.7096	13.3719	127.459	89.0321	15.7648	44.4043	92.1941	81.4446	8.36902	0	5.49529	13.2927	9.76786	24.117	58.7988	46.754	22.4215	40.2213	122.263	36.9624	66.5534	174.548	8.08091	0	78.8451	16.8722	6.19044	17.8704	14.8806	13.0025	19.095	24.8334	12.5661	107.144	60.9142
PWY-6317: D-galactose degradation I (Leloir pathway)	416.657	435.926	432.087	271.948	306.137	357.866	617.671	301.011	362.679	208.281	351.434	486.899	120.858	57.6582	300.881	190.279	391.742	288.872	560.809	555.475	344.786	287.579	491.511	277.912	388.444	394.756	349.311	658.146	94.9565	344.536	579.011	898.473	59.2969	337.523	391.983	640.59	372.863	410.095	330.109	456.762	438.636	364.6	331.217	772.348	562.799	299.343	246.037	567.941	393.089	422.153	282.64	262.178	273.452	246.87	438.344	280.685	177.229	242.833	291.31	463.999	573.674	450.187	493.81	797.932	242.739	126.4	57.318	597.495	482.85	210.284	289.507	348.27	422.053	280.414	345.278	258.376	393.247	407.936
"PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)"	0	0	0	0.363727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.438634	0	0	0	0	0	0	0	0.38257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6328: L-lysine degradation X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107.172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.7053	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6353: purine nucleotides degradation II (aerobic)	103.28	105.981	72.7403	113.419	31.2314	28.3585	183.8	110.987	109.806	40.9684	91.8157	150.344	76.2424	28.7289	127.259	69.1832	35.4212	0	159.793	248.012	26.55	161.939	160.65	53.8384	103.902	145.392	50.0654	143.242	32.1019	369.682	84.5646	15.0312	7.65001	115.353	186.796	321.959	135.577	378.078	92.3953	207.645	205.306	213.731	51.6485	89.3056	203.746	83.1189	53.1243	183.128	118.57	145.822	44.4528	98.6676	104.418	65.0603	166.037	89.9929	56.5003	55.6852	32.2541	11.1143	138.852	111.8	167.119	497.916	314.286	67.0748	15.0959	0	153.302	23.262	70.8353	89.6581	74.9157	75.0764	100.67	45.6023	93.4054	82.8551
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	653.999	648.795	648.831	654.693	734.266	725.243	658.062	478.307	651.221	444.473	558.32	584.922	563.321	595.633	766.623	624.744	703.556	1451.8	705.529	624.255	652.019	671.686	568.821	469.841	620.31	701.691	724.288	665.441	512.845	361.268	692.871	869.234	369.863	472.225	535.82	662.142	558.459	502.041	713.419	632.766	610.442	464.896	435.053	800.952	607.012	483.576	430.869	655.263	558.871	481.257	510.641	410.631	498.771	358.877	545.257	568.7	366.923	498.289	475.938	596.545	604.163	558.592	642.692	771.68	356.217	562.081	587.235	801.18	454.162	743.743	580.12	637.687	711.408	595.177	623.781	613.579	612.304	718.461
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	687.716	677.75	676.985	678.244	764.484	716.538	679.988	532.465	698.295	478.15	633.821	649.014	570.658	608.306	804.455	640.112	704.553	1574.38	817.804	679.184	682.037	673.585	644.508	475.399	668.413	698.566	700.698	705.829	532.635	302.434	741.572	760.437	341.835	489.928	619.689	722.822	617.168	514.121	714.743	713.781	826.159	476.696	433.032	882.431	665.466	489.202	437.543	704.803	637.56	520.851	567.156	460.794	518.555	405.678	662.566	610.511	393.981	559.825	463.708	597.419	721.757	625.704	697.462	839.35	335.8	570.911	590.955	807.942	649.876	766.482	615.093	683.034	792.249	630.199	667.144	638.344	638.857	736.194
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	673.182	664.713	661.33	668.44	743.401	713.718	674.443	523.3	676.032	475.022	617.383	623.961	581.546	606.342	799.31	633.841	727.993	1476.83	787.339	658.469	655.704	668.474	631.823	470.928	653.945	697.246	700.36	686.245	523.176	335.364	722.602	839.076	372.375	478.926	596.742	693.977	596.193	492.149	712.738	686.212	789.973	474.274	427.928	857.016	656.046	487.145	443.38	671.822	620.179	495.569	558.792	451.776	505.802	395.498	649.304	599.119	388.747	548.513	454.735	577.281	705.291	614.703	671.941	803.645	350.021	569.588	597.776	789.379	633.363	797.497	606.203	666.632	766.01	625.707	659.544	633.369	629.065	736.562
"PWY-6396: superpathway of 2,3-butanediol biosynthesis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.4093	0	0	0	0	4.18934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6435: 4-hydroxybenzoate biosynthesis III (plants)	1.70851	0.908831	0	0	0	0	0	0	2.79807	0	3.0619	7.12169	0	0	1.5496	0.785903	1.12633	0	0	3.44808	0	0	0	0	0.336835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0068	1.25044	0	0	0.952666	0.909157	0	0	0	0	2.10171	1.29365	6.87488	1.72226	0	1.32527	1.55901	0	0	0	0	0	0	1.67698	0	0.910311	0.565615	0.731507
PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance)	208.246	187.29	177.955	157.674	0	0	84.5637	232.495	346.467	241.638	180.05	186.869	27.6162	31.5927	28.8075	29.2116	58.5981	0	143.724	160.547	0	0	61.3355	52.2906	147.152	0	0	97.5795	30.1155	3.17952	62.3926	0	0	36.6881	42.4471	50.9626	40.5295	35.63	45.0514	72.1049	9.55036	0	53.8134	7.59884	38.8199	21.8233	46.9444	93.3953	34.936	60.4622	233.619	266.667	211.831	247.531	318.807	338.496	224.374	166.648	0	0	111.793	127.533	140.994	206.208	0	0	0	0	119.097	7.26381	89.393	117.916	132.375	74.7285	94.8622	83.8906	157.848	184.703
PWY-6478: GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis	0	1.50573	0	4.1377	0	0	0	0	0	0	0	0	27.8263	17.1419	0	0	0.744939	0	0	0	0	0	3.83789	16.0863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.97037	0	0	25.746	48.493	0	0	6.95297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.49243	0	0	0	0	5.30752	0	0	0	0	0	0	0	0	0	2.67583	2.00334
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation	54.9295	46.2618	71.2028	77.5184	29.0221	14.1238	71.619	21.7491	21.8119	19.0487	17.2085	79.0818	4.40913	7.42195	22.9914	5.71805	6.37226	0	28.8768	15.4167	22.643	8.47058	193.364	144.44	85.3001	6.86772	4.10448	9.14984	2.48702	96.1161	10.4602	0	20.7626	86.013	56.5958	30.6241	23.8467	90.6556	81.0675	42.8826	24.0274	25.1789	2.20771	20.4438	36.3213	90.1796	51.0923	40.344	17.033	57.351	27.0834	15.523	11.4773	8.59874	27.6599	12.7789	7.03868	19.8635	0	4.77178	135.864	124.239	53.4031	25.5919	136.364	9.63246	9.36737	0	0	35.7664	51.8129	25.4243	37.8746	47.201	76.5824	51.8053	60.4782	47.8982
PWY-6518: bile acids epimerization	0	2.82437	0	0	0	0	2.0108	0	0	8.63206	0	0	0	0	0	0	0	0	3.58079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.9349	1.19282	0	0	0.958297	3.29703	2.45337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.89366
PWY-6519: 8-amino-7-oxononanoate biosynthesis I	72.2318	51.3661	31.9742	107.213	0	0	26.5791	67.4879	52.9376	70.6993	51.1336	162.305	401.97	390.748	485.307	406.348	467.51	0	48.0365	140.774	70.285	112.097	13.0696	24.411	3.28885	181.694	180.884	5.8473	201.955	250.921	3.74906	0	118.394	96.9721	112.113	27.7404	29.2284	232.858	19.1741	33.4988	10.3379	0	48.1647	14.5726	10.0598	34.7009	2.63165	13.9215	36.3549	0	104.251	39.2318	36.0311	25.1057	53.475	54.0699	73.1684	113.92	129.702	107.57	38.8764	160.735	50.4035	116.093	314.32	351.886	299.536	142.423	0	0	4.57856	17.2696	22.8732	2.57711	1.13521	3.82195	79.8354	60.4138
PWY-6527: stachyose degradation	217.067	282.985	330.922	185.931	235.283	308.371	518.812	188.658	184.591	125.276	187.411	354.729	74.015	37.6202	138.108	110.568	367.218	20.3701	438.008	482.304	242.127	210.363	488.051	228.537	354.078	189.52	184.917	539.793	100.279	262.823	254.227	820.021	39.3485	290.789	343.262	546.12	280.072	294.834	173.515	328.475	269.159	282.622	170.724	495.784	412.415	170.597	142.368	543.171	299.506	281.035	153.096	137.599	169.733	125.175	263.723	149.984	119.234	99.1306	172.804	281.97	358.875	368.582	412.533	574.481	234.635	52.6071	23.136	902.164	380.515	133.439	261.621	260.994	312.459	281.304	324.117	282.175	281.944	230.625
PWY-6531: mannitol cycle	0	4.31291	3.96407	24.2954	0	0	6.15938	0	0	0	0	0	29.2136	7.8042	2.82377	5.87817	3.76034	0	0	0	0	0	2.80568	14.7431	1.51518	0	0	0	4.43857	292.562	2.38148	0	1.68932	5.02166	23.1752	0	0	216.523	16.655	0	0	0	16.3549	0	0	10.8164	8.24043	0	0	14.9667	0	0.475022	0	0	0	0	0	0	0	0	1.89073	12.4308	0	0	139.387	0	0	0	0	0	0	0	2.11677	0	0	0	4.63459	2.05544
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III	5.30977	5.53361	4.33925	7.06509	16.5342	0	2.24691	0	0	2.56683	2.72561	0	0	0	0	12.6811	118.593	0	6.57453	0	0	0	37.6533	15.1217	70.3102	0	3.51545	6.1801	87.0485	142.406	31.4698	0	26.0062	90.4475	112.801	0	0	125.659	0	45.5111	208.662	0	24.4573	147.081	212.173	21.4078	9.17444	2.54222	30.2118	16.3261	1.5948	0	0	0	0	0	84.3163	0	42.8988	28.3578	6.2734	15.1279	0	6.12134	79.3945	0	0	0	0	36.1778	75.4109	58.5152	75.1632	48.5642	66.4721	41.4632	5.41986	3.04933
PWY-6549: L-glutamine biosynthesis III	74.769	76.549	62.7922	46.4821	47.8391	35.3202	55.2764	58.4188	62.829	64.9363	90.9515	71.7401	8.41389	14.9215	26.4124	21.3693	33.3552	0	161.56	107.602	29.334	54.2742	76.0625	14.0801	31.5177	25.8407	22.7856	58.5173	21.4741	30.887	59.2039	15.1709	8.26108	161.341	114.06	83.5497	67.2538	158.812	46.0937	31.0385	120.946	41.2301	17.5078	0	112.204	44.8196	29.7222	91.0457	102.535	81.9231	70.4453	29.2844	52.7916	45.9353	97.4624	17.7242	25.9266	48.1891	0	0	73.7366	59.0667	103.303	52.2374	58.5758	4.62824	12.1044	0	114.067	16.002	46.899	95.0008	88.5754	24.9698	40.1094	12.8133	65.1073	76.0366
PWY-6562: norspermidine biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.85008	20.5457	0	0	0	2.45673	0	0	4.84052	5.82226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1163	17.3402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6572: chondroitin sulfate degradation I (bacterial)	6.37956	5.24924	4.81131	24.8423	0	0	0	0	0	0	0	0	48.4421	23.5183	2.39881	1.88617	1.82474	0	0	0	0	0	8.21428	56.4339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.8661	0	0	34.9435	98.3688	0	0	26.4124	0	0	0	0	1.63298	0	0	0	0	0	0	0	0	0	0	3.33223	0	0	0.643491	0	7.0392	0	0	0	0	0	0	0	0	0	14.9715	5.22588
PWY-6588: pyruvate fermentation to acetone	27.6659	18.4882	3.00474	37.7709	66.7097	60.5477	9.14249	10.7247	8.03975	2.57618	10.9259	0	0	0	0	6.36141	1.89987	0	12.8804	2.08889	91.7911	26.103	4.03998	3.30589	4.86835	51.4969	27.5803	2.6354	4.43811	114.466	16.8676	0	0	22.1855	54.5671	0	0	74.911	0.944825	0	5.37277	0	0	0	5.70005	0	0	1.20913	0	0	3.80349	12.0079	21.1249	11.1425	28.295	3.56032	0	3.68794	25.367	32.9513	13.7374	2.21491	0	0	97.7858	0	0	0	0	0	1.29505	3.82443	4.39011	6.44448	4.95209	2.02314	21.9511	11.0085
PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation	75.0223	55.8798	61.2882	78.1901	0	0	40.81	58.2714	8.54384	17.5899	38.6505	65.5388	0	2.21677	27.8675	29.5453	21.5087	0	117.992	117.019	0	0	72.1112	29.8871	46.7467	7.48448	24.7273	45.9416	3.44943	1.53371	10.7306	0	0	52.4725	105.897	64.6458	68.0442	33.8268	73.2915	65.5387	47.2998	0	14.3842	17.703	35.8562	33.5046	36.8796	41.7362	15.0513	119.543	27.9165	43.1283	60.8965	27.447	61.126	36.8024	54.2591	15.1288	0	0	112.554	71.8334	150.941	25.6399	0	2.60165	10.0206	0	0	8.37613	28.4442	36.0448	31.578	31.5721	37.1171	29.4093	61.1733	67.9905
PWY-6595: superpathway of guanosine nucleotides degradation (plants)	6.99902	8.96435	6.43305	17.3715	11.2453	10.3199	0.76453	2.27469	8.44126	3.22282	6.02775	10.8591	0	5.20889	0	2.92933	0	0	34.5163	18.4919	10.8577	25.7134	6.36637	2.99757	3.84836	9.38249	3.49009	9.91748	5.11471	0	6.22697	8.6815	0	48.6602	52.3025	0	0	0	6.68671	0	13.3716	0	0	11.2744	6.75064	0.700741	0	0	0	0	12.2088	0.679055	2.25456	2.36972	1.84361	3.844	24.833	0	18.156	5.57261	22.5004	10.4062	41.8509	2.92001	0	0	2.2586	0	0	0	1.89305	9.41026	2.11768	2.34819	0.904236	4.1328	8.42816	3.0659
PWY-6606: guanosine nucleotides degradation II	51.7132	52.6422	33.7755	56.488	17.98	16.4379	106.917	64.9277	64.3166	21.1838	51.8213	91.7629	37.5123	11.8897	68.214	36.1373	18.3211	0	101.078	163.862	23.363	91.157	82.6783	23.0241	51.9563	82.1594	27.1901	74.8101	15.8943	272.737	29.3523	8.81968	3.52631	69.0342	119.637	242.518	82.7033	274.707	44.4902	136.712	146.38	146.297	21.6346	39.0369	125.174	44.7452	28.7927	120.539	73.2407	81.6726	24.4312	59.203	58.6133	38.1898	100.071	49.5641	32.0328	29.9174	45.3113	23.6146	81.5078	60.7245	105.809	328.286	212.274	34.9832	6.96433	0	108.158	10.5476	32.7297	42.8373	36.1809	36.8274	49.8336	20.4072	45.3142	39.1592
PWY-6607: guanosine nucleotides degradation I	7.15637	9.22597	6.68604	18.2675	9.62865	8.90331	0.764839	2.28124	8.51234	3.18282	6.08488	10.7939	0	5.86667	0	2.94365	0	0	33.6238	18.4846	8.63862	25.7608	6.45679	3.09926	3.89648	9.36185	3.45872	9.77982	5.31788	0	6.40931	8.81968	0	48.6083	52.6159	0	0	0	6.87132	0	13.3936	0	0	11.2285	6.73851	0.701405	0	0	0	0	11.8276	0.67966	2.26357	2.3788	1.84677	3.87601	25.6011	0	14.3909	4.04711	22.9098	10.5708	42.0457	2.92408	0	0	2.38468	0	0	0	1.9163	9.84722	2.14073	2.37192	0.907044	4.31883	8.71141	3.11323
PWY-6608: guanosine nucleotides degradation III	106.016	110.145	86.689	110.322	118.412	81.9202	164.728	91.5759	94.8642	91.1445	74.3739	225.402	66.8979	50.7786	111.748	63.3015	40.7747	0	262.247	275.28	164.358	178.817	192.438	94.5007	109.226	194.352	107.584	269.98	24.6094	530.24	52.0701	8.64102	13.4665	135.258	192.879	344.847	155.612	476.107	95.5924	188.994	183.42	186.289	38.6458	81.4509	207.524	75.3018	66.7531	187.269	158.843	130.037	87.8673	80.3253	85.7997	54.4862	147.233	71.964	54.8652	55.1828	96.6133	178.392	113.282	87.2903	166.043	661.934	384.063	59.173	13.6068	325.32	179.483	23.4289	92.0159	116.169	88.1699	71.0615	105.997	57.1568	97.5979	98.7942
PWY-6609: adenine and adenosine salvage III	676.643	701.097	691.617	657.85	660.864	737.434	722.691	438.493	363.523	412.011	391.035	563.759	552.362	616.7	720.244	602.053	669.717	1257.49	685.332	616.572	708.286	701.759	632.263	525.142	658.483	656.556	587.975	607.066	509.683	306.304	740.858	127.538	315.891	394.695	508.82	729.183	505.122	458.564	574.779	583.737	529.023	334.262	435.524	787.488	623.605	498.946	422.367	728.238	448.402	537.29	455.856	315.632	394.112	282.741	478.283	346.528	261.707	429.319	567.889	749.692	713.204	661.146	655.613	857.461	397.777	596.134	633.489	1262.06	586.431	606.073	595.783	621.335	749.116	610.029	631.187	573.212	673.7	704.745
PWY-6612: superpathway of tetrahydrofolate biosynthesis	26.2098	22.6278	0	12.0962	127.227	205.467	35.559	11.8829	17.5328	11.51	8.88545	19.4628	31.9678	17.7115	12.5746	11.6094	165.564	0	33.6621	30.217	232.973	191.932	29.6213	5.25265	4.76612	270.008	273.362	35.2984	2.45384	153.251	40.4129	24.8677	0	50.6288	60.6569	0	0	84.1587	17.742	28.0324	36.2609	67.3546	32.2725	39.074	70.6471	13.2425	20.278	12.6558	0	0	15.4126	0	0	0	15.9977	2.76909	0	12.8192	286.899	428.301	20.0473	14.4261	58.9542	0	86.3543	0	6.1613	0	0	0	10.3042	22.4026	0	0	3.34446	0	24.2677	26.5739
PWY-6628: superpathway of L-phenylalanine biosynthesis	263.725	245.987	229.957	197.528	403.278	409.909	319.339	292.131	454.463	243.621	358.916	292.595	5.42551	24.3277	53.0917	21.1478	318.508	0	319.11	276.24	431.144	489.002	254.258	215.593	149.448	508.44	530.747	249.971	189.842	124.218	510.161	189.786	12.4786	250.127	296.311	163.534	191.693	257.358	182.239	260.77	269.064	0	92.6804	689.437	385.948	174.399	131.135	238.062	298.149	227.781	305.432	234.804	175.678	183.967	345.328	299.746	201.626	279.666	350.331	415.211	236.065	308.351	277.97	42.4017	164.861	46.6902	63.674	335.754	220.24	30.9472	127.088	200.48	188.612	116.629	122.431	85.8809	229.907	233.385
PWY-6629: superpathway of L-tryptophan biosynthesis	394.801	442.327	430.125	436.959	527.914	565.977	446.087	322.789	410.515	357.329	399.125	526.409	432.573	422.198	580.776	468.926	529.141	1118.25	624.096	579.585	499.81	554.095	522.6	344.734	501.373	601.888	604.049	664.795	446.328	250.38	734.745	510.803	262.418	365.799	430.476	629.632	497.802	412.524	375.967	554.601	574.154	394.203	366.865	853.458	638.541	346.149	326.504	609.348	545.301	400.069	389.234	275.278	334.488	235.971	451.011	382.818	213.688	451.62	432.334	572.601	450.309	500.808	550.712	797.045	317.587	450.224	407.265	437.631	428.038	385.757	441.816	440.199	459.184	438.225	470.122	435.349	427.4	412.182
PWY-6630: superpathway of L-tyrosine biosynthesis	82.1016	87.0189	71.0989	90.873	385.808	413.064	101.831	81.6353	19.6932	67.3048	54.6906	63.843	1.74541	10.7558	0	4.53587	8.1638	0	36.8131	6.81712	419.437	478.759	87.7894	32.5773	126.435	480.2	552.928	168.4	40.41	94.15	419.255	168.68	11.1805	29.7037	89.3285	108.88	54.6487	136.548	24.8075	121.168	202.909	108.91	41.7689	680.549	373.974	40.4956	83.1547	189.516	210.795	0	123.199	33.1607	39.5856	30.7351	97.5716	13.9638	22.3252	42.092	344.175	396.55	20.525	62.0885	16.8676	1.79491	104.232	0	4.84115	0	89.6986	20.6027	70.5861	103.775	58.9721	64.6425	95.7953	63.0302	65.0494	78.7795
PWY-6690: cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate	0	0	0	1.01472	0	0	0	0	0	0	0	0	0	0	0	1.12965	0	0	0	0	0	0	0	0	0	0	0	0	1.69716	244.25	0	0	0	14.605	15.7191	0	0	0.982667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104.912	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6700: queuosine biosynthesis I (de novo)	640.425	648.117	646.905	630.447	566.949	628.3	576.072	352.597	406.347	387.426	471.056	485.569	612.65	659.577	717.185	688.342	567.869	1020.46	580.864	500.277	479.246	559.446	561.935	476.733	502.282	600.054	644.945	515.405	583.454	274.225	437.594	849.004	437.973	331.538	443.282	479.525	491.826	337.742	641.746	499.119	506.513	401.1	437.068	490.997	407.499	461.46	382.134	466.025	372.863	455.022	335.005	320.819	424.599	287.377	472.518	469.054	300.875	445.57	448.358	613.655	610.574	572.621	484.973	735.279	328.713	585.074	644.254	328.702	539.723	816.4	514.212	567.723	711.444	534.893	558.58	626.352	594.749	684.614
PWY-6703: preQ0 biosynthesis	186.71	224.888	212.587	357.012	444.619	454.665	124.116	115.043	97.5777	241.847	151.639	202.535	529.391	594.495	576.663	558.506	467.363	1550.34	277.194	300.805	309.129	343.432	219.605	303.275	275.798	433.193	491.7	311.665	466.038	183.477	402.793	84.7026	334.167	216.89	175.279	328.51	276.302	230.953	430.394	347.698	282.276	356.734	398.678	576.94	318.872	334.483	332.349	296.435	264.579	228.096	310.861	103.726	268.226	93.7198	201.248	296.123	128.226	287.056	323.431	448.281	162.631	226.647	234.681	556.989	261.569	506.587	577.454	298.645	180.302	338.666	287.423	243.067	236.764	276.92	285.806	273.676	276.816	217.657
PWY-6708: ubiquinol-8 biosynthesis (early decarboxylation)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.2672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.5208	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6731: starch degradation III	159.382	198.913	175.403	122.767	0	0	224.671	68.6221	37.3445	76.1116	105.283	133.126	49.322	29.5823	60.1712	30.2206	53.3476	170.997	195.244	147.285	0	0	143.847	207.416	81.502	0	0	368.597	35.3242	214.778	178.525	45.0517	8.99434	176.554	99.0925	150.463	78.6498	90.9308	349.702	50.7642	86.9921	157.592	173.237	42.441	102.181	265.768	159.533	154.049	66.4932	199.547	79.3771	72.2339	64.0208	49.7305	121.405	55.4588	45.7074	87.2927	0	0	164.296	140.126	109.86	93.1905	7.86021	37.5902	30.9811	52.373	202.908	12.7899	43.5624	53.4425	80.3142	63.5881	60.0891	36.4365	234.084	191.495
PWY-6748: nitrate reduction VII (denitrification)	0	0	0	0	7.36404	2.80518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.99299	7.25055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6749: CMP-legionaminate biosynthesis I	3.04605	3.66791	3.42363	23.7736	13.6926	0	0	0	0	2.60962	0	13.9923	0	81.0322	57.9024	76.2371	40.7206	0	0	0	0	0	0	0	8.33285	5.44041	2.83824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.32647	0	0	3.8847	0	0	0	0	0	0	0	0	0	14.4044	61.8529	0	74.4805	0	0	0	0	0	0	0	0	3.48404	8.57089	2.63035
PWY-6803: phosphatidylcholine acyl editing	2.95394	2.9641	1.90544	18.6743	25.8798	15.0592	0	1.90456	0	42.6645	2.29811	0	0	0	0	8.50904	0	0	0	0	43.2119	14.6411	0	1.0658	0	112.072	222.023	0	29.029	346.956	0	0	16.5811	82.4467	45.8512	0	6.57372	115.66	0	0	0	0	0	0	0	0	0	0	0	0	36.2005	0	0	0	0	0	7.30028	9.76209	89.5148	71.423	0	0	0	0	153.4	0	0	62.5251	0	0	1.06369	0	0.686752	0	0	0	1.55923	1.8663
PWY-6807: xyloglucan degradation II (exoglucanase)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.64384	0	0	0	0	0	0	0	1.2929	0	0	0	0	0	0	0	0
