Pathway	O1_E_1cm	O1_E_5cm	O1_K_1	O1_LI_10cm	O1_LI_19cm	O1_LI_1cm	O1_LI_28cm	O1_LI_37cm	O1_LI_46cm	O1_LI_55cm	O1_S_1	O1_S_3	O1_SI_161cm	O1_SI_1cm	O1_SI_201cm	O1_SI_41cm	O1_SI_81cm	O1_Tg_F_Th	O2_E_1cm	O2_E_5cm	O2_K_1	O2_LI_10cm	O2_LI_19cm	O2_LI_1cm	O2_LI_28cm	O2_LI_37cm	O2_LI_46cm	O2_LI_55cm	O2_S_1	O2_S_3	O2_SI_121cm	O2_SI_145cm	O2_SI_49cm	O2_Tg_TR	Y1_E_1cm	Y1_E_5cm	Y1_K_1	Y1_LI_10cm	Y1_LI_19cm	Y1_LI_1cm	Y1_LI_28cm	Y1_LI_37cm	Y1_LI_46cm	Y1_LI_55cm	Y1_S_1	Y1_S_3	Y1_SI_113cm	Y1_SI_137cm	Y1_SI_29cm	Y1_SI_85cm	Y1_Th_TG_f	Y2_E_1cm	Y2_E_5cm	Y2_K_1	Y2_LI_10cm	Y2_LI_19cm	Y2_LI_1cm	Y2_LI_28cm	Y2_LI_37cm	Y2_LI_46cm	Y2_LI_55cm	Y2_S_1	Y2_S_3	Y2_SI_113cm	Y2_SI_141cm	Y2_SI_169cm	Y2_SI_1cm	Y2_SI_29cm	Y2_SI_57cm	Y2_Tg_TR
PWY-6281: L-selenocysteine biosynthesis II (archaea and eukaryotes)	0	0	0	0.290736	0.473234	0	0.442396	0	0	0.652933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.198838	0.244771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.263281	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	0	0	0	14.8296	13.4579	21.2703	18.0937	16.7695	17.2893	13.6021	281.542	38.0922	27.0599	110.326	22.4912	0	0	346.183	185.448	0	0	6.06945	15.5776	9.87948	8.39796	11.5555	12.058	10.0499	355.683	215.185	62.1338	150.157	23.8651	265.022	154.267	230.426	165.121	5.90579	5.26531	41.9798	6.38332	7.67275	6.18552	4.49996	186.956	437.026	0	56.7784	45.3216	0	82.8298	87.763	0	0	36.8401	27.8586	37.4577	40.9788	30.4759	33.7767	50.2312	262.786	257.762	16.2038	60.5586	51.0701	0	27.5177	70.1628	289.895
PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli)	0	0	0	12.2915	7.8115	14.4086	11.0715	8.22725	8.6245	6.61782	121.941	0	0	0	0	0	0	88.4064	0	0	0	4.6131	4.63518	0	0	0	0	0	78.4682	54.9814	66.6837	65.3098	29.6266	126.494	0	0	0	0	2.1223	3.05101	0	0	1.40321	0	106.767	239	0	17.1829	0	0	0	0	0	0	12.7898	15.8633	10.5634	34.8912	26.2519	24.5849	20.178	158.256	176.585	0	0	0	0	0	29.1681	85.3952
PWY-6285: superpathway of fatty acids biosynthesis (E. coli)	0	0	0	16.5585	11.6683	20.5155	16.2703	12.7774	13.3249	10.3127	181.847	0	0	0	0	0	0	147.707	0	0	0	6.42673	7.90067	0	0	0	0	0	132.127	91.0942	71.2732	95.1242	32.0404	180.779	0	0	0	0	3.43541	5.83919	0	0	2.47703	0	143.788	318.284	0	28.7326	0	0	0	0	0	0	20.9331	23.4405	17.9485	45.1584	34.0807	33.7267	31.8373	216.494	233.993	0	0	0	0	0	45.9128	129.957
PWY-6292: superpathway of L-cysteine biosynthesis (mammalian)	0	0	0	24.2625	20.6002	33.3112	23.3451	16.4774	21.942	23.7477	48.8995	0	8.66347	35.1969	19.1942	0	25.3443	74.4006	29.8632	0	0	23.7945	28.7657	19.1922	17.8655	21.1285	14.4483	12.5361	15.4108	47.5375	0	33.407	14.0207	66.3926	0	0	0	2.05958	7.547	35.5671	13.2117	3.77771	18.8353	5.06545	26.0337	19.9635	0	29.3032	0	0	0	0	0	0	15.9562	11.8485	21.923	22.6041	18.969	9.95556	11.8929	108.585	103.93	29.3738	106.462	120.714	0	39.208	159.686	0
PWY-6293: superpathway of L-cysteine biosynthesis (fungi)	0	0	0	0	0	0.86406	0.524379	0	0.293392	0.958444	10.0657	0	0	0	0	0	0	5.18006	0	0	0	0.377326	0	0.297931	0	0.523293	0	0	18.5598	11.9629	0	0	0	0	0	0	0	0	0.721073	0.320713	0	0	0.246656	0.41	6.62733	33.2045	0	0	0	0	0	0	0	0	2.70804	2.18225	6.49937	4.30867	2.43347	2.99961	4.23374	117.544	114.423	34.3012	66.3105	54.1597	0	0	112.165	0
PWY-6305: superpathway of putrescine biosynthesis	0	0	0	23.3667	18.3681	23.8766	20.9584	15.2012	18.0642	26.3029	57.0755	0	13.7362	29.2617	0	0	28.2801	95.8226	0	0	0	26.8856	29.0861	26.4945	25.4704	28.5367	28.9652	21.8128	33.5607	34.842	59.1518	11.6721	19.7133	55.6767	76.9286	47.5846	0	5.88558	5.12592	20.0216	4.34039	4.32457	6.0109	4.70469	41.6517	28.0329	0	15.3971	0	0	40.1518	0	0	0	21.4024	20.9786	26.6849	33.9544	25.0126	29.0747	25.7493	20.692	20.1688	92.4243	117.669	186.368	17.4677	0	85.6834	0
"PWY-6307: L-tryptophan degradation X (mammalian, via tryptamine)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.24395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6313: serotonin degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.36958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6317: D-galactose degradation I (Leloir pathway)	0	0	92.577	195.612	184.947	197.638	188.792	192.302	183.651	204.427	219.543	42.2142	82.1744	103.288	111.543	121.969	89.0309	248.187	0	0	37.3194	223.625	264.093	170.559	200.103	182.878	160.181	145.524	214.471	173.237	150.237	157.056	98.0639	255.535	86.9296	183.609	0	134.413	107.235	231.62	117.285	112.275	119.25	110.634	199.475	399.294	0	201.181	0	0	105.81	52.518	0	46.2158	168.511	162.177	205.831	170.361	149.045	143.824	163.05	388.139	409.243	288.704	370.201	398.206	107.265	89.2448	389.274	170.144
PWY-6328: L-lysine degradation X	0	0	0	0	0	0	0	0	0	0.106423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6349: CDP-archaeol biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.66854	1.79331	1.08066	1.00655	1.84242	4.10566	8.91954	0	0	0	0	0	0	0	0	0	0	0.589136	0	0.311008	0	0.92003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.695827	0	0	0	0	0	0	0	0	0	0	0
PWY-6350: archaetidylinositol biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.04137	1.27178	0.765224	0.623596	1.33736	3.10915	7.51173	0	0	0	0	0	0	0	0	0	0	0.490097	0	0.3188	0	0.638954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6353: purine nucleotides degradation II (aerobic)	0	0	0	39.3182	37.3749	28.2987	41.8189	34.5427	39.2055	41.589	19.0204	0	0	0	21.7785	25.9156	0	70.8191	0	0	0	16.8915	20.7799	13.093	12.3906	19.3063	20.0649	18.904	0	24.9183	0	0	0	44.3165	0	58.9581	0	10.2088	19.1094	19.6179	15.0657	20.4979	17.6167	15.8489	56.8442	16.234	0	21.6124	0	0	0	0	0	0	27.574	34.6449	20.9099	41.6529	48.0468	35.2183	30.3593	0	0	0	23.8172	0	0	23.6726	0	0
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	0	0	203.17	618.782	668.697	591.694	644.102	654.114	618.94	640.607	548.056	69.3623	437.787	254.09	413.28	421.622	394.042	589.109	193.528	0	137.898	512.264	530.726	468.874	491.166	454.208	369.016	378.475	523.948	401.302	321.817	247.927	226.314	492.323	106.402	176.419	162.666	407.191	398.956	576.929	379.676	396.191	408.109	454.647	458.071	540.09	0	492.567	0	0	100.693	144.922	0	132.089	445.029	397.434	498.653	423.636	375.506	405.899	430.642	626.997	680.138	437.809	476.989	496.704	313.407	359.386	546.568	195.063
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	0	0	164.218	625.753	679.587	609.881	655.69	665.646	629.066	650.548	539.314	58.8493	439.157	251.246	422.664	418.871	426.707	578.184	137.957	109.779	130.05	518.943	539.014	472.227	494.938	457.276	387.448	398.439	487.415	385.17	305.217	240.458	244.051	484.902	74.9161	160.586	120.217	459.216	445.226	593.628	430.117	450.99	456.635	514.461	463.583	518.056	0	503.671	0	0	91.483	139.207	0	163.739	454.817	402.734	511.383	432.119	378.727	411.287	434.157	623.659	682.885	474.455	505.125	531.828	285.993	358.672	572.44	188.145
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	95.2897	99.0855	196.89	627.283	677.059	610.154	654.482	664.44	629.704	650.925	536.851	60.1665	448.237	245.183	418.223	434.594	417.701	576.151	183.611	104.846	159.465	525.393	543.706	486.028	506.709	467.137	387.985	398.845	502.312	386.824	306.394	234.882	236.713	483.052	99.7251	160.845	155.521	456.337	436.071	585.275	419.811	441.411	448.231	502.677	454.949	511.671	0	513.245	0	0	102.176	138.689	0	163.145	468.426	415.19	524.972	443.881	386.339	432.345	451.333	616.827	674.75	465.368	490.326	522.049	312.487	358.828	560.431	185.503
"PWY-6396: superpathway of 2,3-butanediol biosynthesis"	0	0	0	0.482411	0.38255	0	0.401002	0	0	0.75976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.04521	3.68246	2.37331	8.53605	4.78736	4.82633	2.54771	0	0	0	0	0	0	0	0	0
PWY-6435: 4-hydroxybenzoate biosynthesis III (plants)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6467: Kdo transfer to lipid IVA III (Chlamydia)	0	0	0	0	0	0	0	0	0	0	1.48113	0	0	0	0	0	0	10.7109	0	0	0	0	0	0	0	0	0	0	1.53945	4.13123	0	0	0	3.76693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance)	0	0	0	16.5855	11.381	12.0478	14.9452	12.7456	11.1068	14.5857	0	0	0	0	0	0	0	0	0	0	0	13.2278	17.831	8.51853	9.79974	8.33086	4.07654	3.37172	8.16924	0	0	0	0	0	0	0	0	0	0.96255	13.8157	2.74026	0.975477	1.53665	0	0	8.05356	0	8.5123	0	0	0	0	0	0	15.2292	14.4457	17.6306	25.6489	16.7776	14.0635	15.1875	10.7012	8.69605	0	0	0	0	0	0	0
PWY-6471: peptidoglycan biosynthesis IV (Enterococcus faecium)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.494	2.10197	0	9.20238	6.69504	1.69987	4.06989	11.4219	9.40955	0	0	0	0	0	0	0
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation	0	0	0	19.814	15.4897	25.0504	20.9215	22.2085	17.6836	22.622	0	0	12.9562	0	0	0	0	4.7671	0	0	0	21.6739	16.8453	17.0046	16.0251	20.2811	33.6714	27.7642	15.0466	9.30033	0	0	0	11.479	0	0	0	8.96828	9.55881	39.973	9.04936	7.18727	6.64374	8.81861	17.7931	16.5742	0	26.4393	0	0	0	0	0	13.9793	17.387	14.9669	21.5044	19.722	16.2128	14.2715	18.3182	5.26948	6.67665	7.66273	0	0	0	21.2381	0	0
PWY-6519: 8-amino-7-oxononanoate biosynthesis I	0	0	0	16.7776	15.2501	22.258	20.2663	18.3641	18.9744	15.2553	133.533	0	24.5536	33.9257	0	0	0	199.879	156.502	0	0	6.99287	16.6904	11.0376	9.43115	12.4154	12.4268	11.0921	113.362	141.369	26.0287	66.8143	20.81	170.584	0	44.3974	150.989	6.79087	5.87881	37.0385	7.1142	8.29709	6.86178	5.14259	88.1909	48.423	0	43.0228	0	0	0	0	0	0	34.2855	26.2437	34.3222	37.5057	29.4897	31.1026	43.4645	46.0246	53.5402	15.6448	26.7936	0	0	0	21.9154	0
PWY-6527: stachyose degradation	0	0	0	200.564	194.009	195.117	192.268	214.586	198.453	226.167	188.411	46.3177	93.6339	56.9254	130.592	144.384	89.2331	214.466	47.5222	77.7946	45.7478	238.061	280.075	178.455	218.772	193.508	189.152	164.443	210.787	176.403	215.933	205.776	112.433	246.518	96.7441	163.939	0	114.146	111.616	269.251	118.19	118.342	115.497	89.0945	213.84	348.483	0	231.6	0	0	129.663	0	0	0	190.733	188.982	202.461	192.957	171.865	169.704	190.412	499.47	536.125	332.179	440.81	478.356	93.802	85.7866	496.99	78.0351
PWY-6531: mannitol cycle	0	0	0	0.232826	0	0	0.300601	0.205939	0.559027	1.70702	0	0	0	0	0	0	0	0	0	0	0	0	0.2467	0	0	0.274552	0	0	0	0	0	9.0299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.15392	1.92909	2.39813	3.7446	2.38757	2.95553	2.89553	3.4942	1.42549	0	0	0	0	0	0	0
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III	154.637	0	0	0.863479	1.03865	0.508301	1.67182	1.78742	0.963588	1.93681	7.1804	0	0	44.4984	0	0	0	3.15971	0	0	0	5.8343	5.94268	9.30318	5.55066	5.753	11.052	4.64032	38.69	6.9986	0	0	0	20.5931	0	0	0	0	0	7.67009	3.67152	0	1.21155	1.01606	15.794	12.7474	0	6.92736	0	0	0	0	0	0	9.42394	6.11882	20.736	19.3043	15.9617	13.4747	21.0931	113.926	128.094	106.433	124.178	118.593	0	50.2835	128.34	0
PWY-6549: L-glutamine biosynthesis III	0	0	0	84.9599	79.6991	81.7251	74.1604	73.0503	61.8102	65.1754	66.6142	0	0	0	0	34.9625	43.4954	8.07819	0	0	0	33.0582	72.7867	42.4111	31.933	36.6672	21.0727	36.9075	12.5693	21.3615	0	0	0	9.09234	0	0	0	28.4901	15.9555	45.6912	14.48	37.6183	29.4873	25.8985	39.3742	12.0742	0	22.3647	0	0	0	0	0	0	23.125	27.4441	40.3051	37.7348	31.6663	29.7394	35.8655	0	9.62896	31.3852	0	0	46.9699	41.2004	13.6968	0
PWY-6562: norspermidine biosynthesis	0	0	0	0.968467	1.27394	0.382522	1.90388	2.08776	1.49062	1.19155	12.8085	0	0	6.78352	0	0	0	17.2984	0	0	0	0.547233	0.44274	0.805671	0.581557	1.00084	4.00609	2.9833	11.3998	5.40645	0	0	0	2.93263	0	0	0	8.25892	9.2106	0.732961	7.44116	6.70378	10.0638	8.02776	20.2765	48.491	0	3.76858	0	0	0	0	0	0	4.48755	3.51187	6.51383	5.94854	5.84701	5.93763	6.4512	23.7437	24.7143	0	0	0	0	0	0	0
PWY-6565: superpathway of polyamine biosynthesis III	0	0	0	0	0	0	0	0	0	0	14.3096	0	0	0	0	0	0	0	0	0	0	0.548745	0	0.809272	0.583119	1.00676	4.19871	3.10335	0	0	0	0	0	0	0	0	0	10.6625	10.7188	0	8.08983	7.23013	11.166	9.31967	0	0	0	0	0	0	0	0	0	0	0.559662	0.61343	0	0.717931	1.10362	1.10515	0.812158	0	0	0	0	0	0	0	0	0
PWY-6588: pyruvate fermentation to acetone	0	0	0	15.2576	8.32992	11.057	14.4499	11.7886	10.4327	11.4683	57.2551	0	0	10.0019	0	0	0	45.4544	0	0	0	3.48459	9.06076	4.97941	4.85242	5.15578	4.65373	3.91844	33.0844	64.152	19.7754	10.5642	0	46.7417	58.2173	54.783	0	0.71734	2.78447	5.46737	1.79644	1.55837	2.7321	1.89707	28.3653	58.7316	0	1.8111	0	0	0	0	0	0	6.70521	9.17379	4.4803	9.6229	12.388	8.65009	5.09396	45.5048	54.0487	11.836	7.17199	0	0	0	19.253	0
PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation	0	0	0	9.55558	8.69928	12.5318	8.98817	5.51357	8.16399	9.55583	34.1642	0	0	0	0	0	0	2.25699	0	0	0	21.47	22.2846	15.761	15.755	20.2117	12.9708	10.6828	15.8117	13.8443	0	10.1768	0	0	0	0	0	3.99387	2.7608	27.7704	5.33668	3.84555	4.06844	3.06971	26.0835	5.25954	0	13.8722	0	0	0	0	0	0	15.2368	13.2272	15.5386	20.1125	18.4061	16.5915	16.855	13.5566	17.496	0	0	0	0	0	0	0
PWY-6595: superpathway of guanosine nucleotides degradation (plants)	0	0	0	0.240016	0	0.368792	0.273556	0	0	0	9.29502	0	0	0	0	0	0	3.85207	0	0	0	0	0.650641	0	0.361857	0.447981	0	0	0	5.25158	0	0	0	6.6556	0	0	0	0.585583	0.935631	2.73135	1.08199	1.75262	1.19056	0.931362	21.8512	8.74426	0	0	0	0	0	0	0	0	3.78782	3.75732	6.08888	5.98791	0.890711	2.58182	3.45835	0	0	0	14.519	0	0	15.4726	0	0
PWY-6606: guanosine nucleotides degradation II	0	0	0	19.7046	12.915	13.6815	18.5686	15.3073	17.9141	20.8716	31.7031	0	0	0	0	0	0	35.1063	0	0	0	8.82017	11.1153	6.09885	5.44227	9.62761	6.26923	5.83627	10.457	11.6413	0	0	0	23.0364	0	31.3401	0	4.0925	7.96167	10.3206	6.18215	9.08557	7.39079	7.69878	26.9502	30.8757	0	11.1057	0	0	0	0	0	0	12.8296	15.8156	9.68782	20.5816	20.7138	16.8442	13.5593	29.5723	18.4345	73.26	122.667	75.1615	0	16.0593	86.6166	0
PWY-6607: guanosine nucleotides degradation I	0	0	0	0.24038	0	0.370132	0.274097	0	0	0	6.93412	0	0	0	0	0	0	3.80334	0	0	0	0	0.648645	0	0.359742	0.446822	0	0	0	5.02004	0	0	0	6.47027	0	0	0	0.594783	0.936301	2.71617	1.07084	1.75909	1.18569	0.930979	23.0303	6.57829	0	0	0	0	0	0	0	0	3.82507	3.84058	5.83083	6.0617	0.895849	2.62091	3.50222	0	0	0	10.0666	0	0	16.0593	0	0
PWY-6608: guanosine nucleotides degradation III	0	0	0	31.5599	25.7852	23.0874	31.3071	24.5184	30.325	32.1868	130.273	0	0	65.8309	15.9399	19.1551	0	213.9	88.2311	0	20.676	30.579	37.7147	13.391	27.5152	33.9069	13.539	13.2524	73.6903	66.7432	0	0	0	117.691	0	46.5536	63.8191	6.11858	18.1397	28.0544	22.3308	19.1924	20.4602	18.6445	45.5665	39.2367	0	19.5616	0	0	39.2205	0	0	0	25.308	23.9948	38.978	37.3714	35.7888	24.8242	24.6072	30.204	18.6837	82.8826	141.565	78.2467	0	17.9476	88.4322	0
PWY-6609: adenine and adenosine salvage III	347.037	80.892	117.923	384.59	357.425	491.974	382.309	350.155	410.807	407.69	548.538	189.274	220.401	140.436	172.242	242.785	201.708	491.229	115.266	162.474	314.31	437.144	418.013	449.518	394.903	441.533	512.173	514.195	486.397	401.569	477.004	320.495	287.179	574.263	250.996	155.844	53.3735	559.5	446.596	493.43	430.408	458.785	449.861	495.986	553.788	620.5	0	327.288	63.4758	0	108.194	253.679	114.808	238.685	383.004	342.145	410.617	405.213	324.94	356.206	374.619	675.791	734.107	401.634	504.342	604.707	101.767	233.39	577.614	190.206
PWY-6612: superpathway of tetrahydrofolate biosynthesis	0	0	0	7.18309	5.02936	7.37526	7.93444	7.28161	6.37506	7.3581	166.826	0	0	0	0	0	0	116.681	0	0	0	3.61116	5.69541	5.83263	4.18227	6.61656	6.9417	4.89868	130.263	92.6978	117.607	66.2197	0	170.602	0	35.0046	0	0	0	3.05738	0.540394	0	1.16759	0	138.287	216.838	0	0	0	0	0	0	0	0	11.9504	10.199	18.4652	23.8739	17.5085	14.9238	13.8395	195.411	211.935	69.8642	101.658	148.069	0	0	158.306	66.1892
PWY-6628: superpathway of L-phenylalanine biosynthesis	0	0	0	70.3671	98.5375	65.4217	88.775	80.8304	76.0751	92.5266	255.04	0	37.5097	120.471	0	0	0	280.911	104.413	0	0	74.7658	108.003	76.2908	78.5174	78.2858	91.2981	79.2078	256.436	187.546	0	102.929	0	261.93	75.4642	98.2948	142.152	76.7365	76.1515	79.3145	79.1988	60.5146	69.1287	45.1107	211.445	293.924	0	81.8732	0	0	67.8424	66.4446	0	0	92.9263	107.133	88.4182	96.3046	108.297	100.14	115.336	206.25	233.55	104.751	20.4877	34.2019	0	0	95.0611	122.602
PWY-6629: superpathway of L-tryptophan biosynthesis	0	0	85.6988	431.642	427.653	458.966	426.079	459.866	400.75	420.208	272.807	0	293.934	154.059	298.981	273.48	265.153	295.062	156.443	0	105.884	328.937	372.767	291.843	321.961	284.294	175.193	200.929	290.925	213.655	203.434	200.55	147.283	268.591	53.5957	103.135	172.049	369.098	310.852	478.896	304.814	325.195	314.398	304.051	234.481	372.232	0	381.419	0	0	82.6608	0	0	60.7583	318.015	263.606	349.705	290.506	256.048	282.072	281.006	252.054	287.439	237.782	219.991	133.303	204.31	186.068	216.478	89.1173
PWY-6630: superpathway of L-tyrosine biosynthesis	0	0	0	102.82	123.163	89.9926	115.92	102.101	99.6542	112.223	204.654	0	45.3661	0	0	72.2773	50.4515	173.793	104.355	0	0	77.3331	80.9518	86.8438	84.4511	84.9116	90.0367	79.6082	188.475	128.957	0	43.6244	89.9743	239.505	0	0	92.7017	64.4788	69.864	59.0596	73.1531	60.2831	60.9432	39.9736	200.644	248.054	0	42.6851	0	0	0	50.9045	0	0	82.4083	97.775	75.8075	91.2363	98.9324	90.1867	103.662	176.436	186.731	49.4754	22.6453	36.1129	55.9858	0	73.3385	106.488
PWY-6690: cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate	0	0	0	0	0	0	0	0	0.242569	0.0723732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0934	0	0.586229	1.14321	0.654192	0.749584	1.40976	0	0	0	0	0	0	0	0	0
PWY-6700: queuosine biosynthesis I (de novo)	181.252	171.827	130.221	487.425	447.032	516.565	465.888	490.041	500.028	467.589	517.549	85.6964	324.294	251.251	346.061	339.277	297.388	545.4	229.407	130.276	335.242	495.173	462.096	500.011	486.355	448.69	488.536	497.974	597.523	525.08	351.097	227.335	220.608	391.179	400.889	452.864	173.651	614.649	549.953	501.806	539.781	584.308	569.109	696.434	392.57	541.255	0	400.516	63.2787	0	198.917	285.696	0	204.993	457.438	373.562	506.336	403.574	326.343	429.216	388.154	438.162	500.55	270.69	282.137	322.774	268.339	277.544	277.868	217.465
PWY-6703: preQ0 biosynthesis	0	0	122.184	363.32	443.569	235.256	418.715	429.815	382.91	399.713	195.561	0	275.105	160.636	306.257	267.2	283.969	228.38	114.32	0	66.447	217.837	208.548	177.776	228.682	163.037	97.6043	77.9203	325.225	197.432	91.1686	144.435	115.702	150.797	152.265	143.964	131.045	84.1069	116.666	168.487	117.634	107.209	109.593	98.2906	166.454	280.906	0	217.348	0	0	43.4202	64.5564	0	58.4669	170.017	157.153	177.535	166.924	157.476	172.396	193.28	196.502	197.19	222.582	313.795	295.117	227.104	230.074	222.269	187.215
PWY-6731: starch degradation III	0	0	0	8.01473	5.01967	3.87057	6.88721	5.78318	7.19401	9.79006	6.99768	0	0	0	0	0	0	0	0	0	0	24.8362	35.446	14.8987	19.8408	24.0469	12.5743	13.8296	0	0	23.5973	19.4508	23.0406	0	0	0	0	4.43009	4.38618	12.5688	3.5685	2.19632	3.54397	3.01245	11.1643	0	0	13.6536	0	0	0	0	0	0	17.2435	12.9121	50.2619	17.6764	9.59244	10.1447	13.6821	19.1451	13.0647	158.708	242.245	284.285	0	0	224.022	0
PWY-6748: nitrate reduction VII (denitrification)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.78925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6749: CMP-legionaminate biosynthesis I	0	0	0	0	0	0	0	0	0	0	0.930463	0	0	0	0	0	0	13.2521	0	0	0	0	0	0	0	0	0	0.877882	0	2.44148	0	0	0	3.47254	0	0	0	0.955105	0	0	0	0	0	0	1.5874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6803: phosphatidylcholine acyl editing	0	0	0	0	0	0	0.51642	0	0	4.61216	90.2749	0	0	68.8183	0	0	0	97.9474	0	0	0	0.688722	0	0.479252	0.382428	0	0	0	122.953	50.4426	0	0	0	7.61433	0	0	0	0	0	0	0	0	0	0	4.51873	6.63626	0	0	0	0	0	0	0	0	3.85837	4.34599	2.44348	5.34304	6.03801	4.69941	9.50931	63.4289	70.2532	0	0	5.85388	0	0	7.57542	0
PWY-6823: molybdopterin biosynthesis	0	0	0	71.4563	65.1281	77.6722	70.1931	51.1956	62.41	64.6906	113.308	0	11.3705	0	0	14.9152	16.0205	88.3232	158.629	0	112.596	66.3463	103.117	58.5839	54.8093	71.7918	148.573	140.86	72.1523	74.5327	65.3941	30.9056	50.7584	101.583	58.5724	41.3938	203.098	66.3883	35.924	76.509	31.9585	36.2224	32.78	28.5856	84.9785	169.907	0	49.4402	0	0	0	0	0	146.271	39.6233	30.7221	52.0919	43.4234	31.6679	30.8104	37.7145	50.1421	52.0375	46.7475	83.707	113.407	0	18.1105	53.7173	54.0606
PWY-6859: all-trans-farnesol biosynthesis	0	0	0	2.34166	1.13442	1.15498	2.2508	1.20993	1.66096	0.548061	59.0304	0	0	25.7177	0	0	0	62.8284	0	0	0	0	1.69146	0.278188	0	0	0	0.43195	16.8798	27.3224	18.3874	14.0442	0	96.3599	0	0	0	0	0	0.23244	0	0	0	0	51.0668	39.9139	0	0	0	0	0	0	0	0	2.13115	1.91873	5.31667	2.33486	1.10765	0.494986	0.551382	144.967	161.919	70.6211	100.03	152.65	0	18.6783	158.132	37.1952
PWY-6876: isopropanol biosynthesis (engineered)	0	0	0	25.8063	25.6127	34.7047	19.3408	6.75822	8.34991	8.37013	0	0	8.60663	0	0	0	0	4.99399	39.2739	0	0	16.5054	34.0799	30.5775	13.1064	12.0206	8.36154	18.7158	10.7833	11.5988	14.8744	9.78014	0	9.23754	0	25.4161	0	24.5195	21.796	90.7967	21.0038	23.5011	16.727	12.3119	2.10059	1.8226	0	11.8309	0	0	0	0	0	0	36.3568	28.2619	48.1003	30.8446	13.3591	17.1894	9.66703	19.3896	14.319	0	0	16.7267	0	0	5.68154	0
